,day,hour,label,points,points_per,center_x,center_y,cluster_count,region_surface,region_vertices
0,0,0,0,2153,0.04306,40.814815072744885,-73.94403222033169,44.0,0.0023768150450002887,"[[ 40.8092    -73.9656   ]
 [ 40.8528    -73.9658   ]
 [ 40.8459    -73.9417   ]
 [ 40.8327    -73.9219   ]
 [ 40.8256703 -73.9152416]
 [ 40.7945    -73.9212   ]
 [ 40.7933    -73.923    ]
 [ 40.7922    -73.9248   ]
 [ 40.7863    -73.9402   ]
 [ 40.7863    -73.9424   ]
 [ 40.8077    -73.9649   ]]"
1,0,0,1,10755,0.2151,40.72558306801843,-73.99237087661344,44.0,0.0008815349999998633,"[[ 40.7236 -74.0113]
 [ 40.7357 -74.005 ]
 [ 40.7389 -74.0001]
 [ 40.7407 -73.9854]
 [ 40.7402 -73.9842]
 [ 40.7371 -73.9792]
 [ 40.7345 -73.9757]
 [ 40.7327 -73.9746]
 [ 40.7317 -73.9742]
 [ 40.7307 -73.974 ]
 [ 40.7133 -73.9778]
 [ 40.7104 -73.9882]
 [ 40.7114 -73.9959]
 [ 40.714  -74.0088]
 [ 40.715  -74.0101]
 [ 40.7223 -74.0112]]"
2,0,0,2,2200,0.044,40.68266684425434,-73.98836577718164,44.0,0.0015794485149999548,"[[ 40.6578    -73.9829   ]
 [ 40.6567    -73.9993   ]
 [ 40.6569    -74.001    ]
 [ 40.674     -74.0168   ]
 [ 40.6757    -74.017    ]
 [ 40.703     -73.9947   ]
 [ 40.7038    -73.9861   ]
 [ 40.7036    -73.9803   ]
 [ 40.6997716 -73.9753359]
 [ 40.6801    -73.968    ]
 [ 40.6732    -73.9687   ]]"
3,0,0,3,4765,0.0953,40.65015143884023,-73.78017220559023,44.0,0.007516288865000625,"[[ 40.6945474 -73.7384653]
 [ 40.6356    -73.7311   ]
 [ 40.5954    -73.7427   ]
 [ 40.5805104 -73.8361535]
 [ 40.6616    -73.8049   ]
 [ 40.6709    -73.8011   ]]"
4,0,0,4,2743,0.05486,40.767729288034026,-73.96116311835249,44.0,0.0007131427700001693,"[[ 40.7914    -73.9525   ]
 [ 40.7898    -73.948    ]
 [ 40.7811    -73.9443   ]
 [ 40.7648    -73.9473   ]
 [ 40.7639    -73.9476   ]
 [ 40.7613367 -73.9502853]
 [ 40.7508    -73.9685   ]
 [ 40.7503    -73.972    ]
 [ 40.7598    -73.9763   ]
 [ 40.7605    -73.9761   ]
 [ 40.7646    -73.9741   ]
 [ 40.7912    -73.9533   ]]"
5,0,0,5,111,0.00222,40.87738994,-73.836359192,44.0,0.00545979513860089,"[[ 40.8662112 -73.7895774]
 [ 40.8226008 -73.8095781]
 [ 40.8407    -73.8345   ]
 [ 40.8511    -73.8456   ]
 [ 40.8874    -73.8651   ]
 [ 40.9066    -73.8629   ]
 [ 40.9266    -73.8542   ]
 [ 40.9546    -73.8332   ]]"
6,0,0,6,1880,0.0376,40.69643002934514,-73.9255424066202,44.0,0.001374711365000226,"[[ 40.6821    -73.907    ]
 [ 40.68      -73.9414   ]
 [ 40.6838    -73.946    ]
 [ 40.6857    -73.9472   ]
 [ 40.6881    -73.9481   ]
 [ 40.6997    -73.9511   ]
 [ 40.7083    -73.9325   ]
 [ 40.7088    -73.9262   ]
 [ 40.709     -73.9204   ]
 [ 40.7081    -73.8979   ]
 [ 40.7014917 -73.8868028]]"
7,0,0,7,2,4e-05,40.890950000000004,-72.98564999999999,44.0,,
8,0,0,8,436,0.00872,40.84351063507398,-73.87493070619657,44.0,0.0025722293603646046,"[[ 40.8126008 -73.8840247]
 [ 40.8162916 -73.8962205]
 [ 40.8614754 -73.8905439]
 [ 40.8845    -73.8787   ]
 [ 40.8818    -73.8639   ]
 [ 40.8688    -73.8528   ]
 [ 40.8609    -73.8495   ]
 [ 40.8273229 -73.8501349]
 [ 40.8227    -73.852    ]
 [ 40.8189    -73.8614   ]
 [ 40.8153759 -73.8711061]]"
9,0,0,9,5948,0.11896,40.754763961827884,-73.98558065451469,44.0,0.000751660000000123,"[[ 40.769  -73.9958]
 [ 40.775  -73.988 ]
 [ 40.765  -73.975 ]
 [ 40.755  -73.9709]
 [ 40.7435 -73.9726]
 [ 40.7385 -73.9734]
 [ 40.7379 -73.9742]
 [ 40.7391 -73.9818]
 [ 40.7408 -73.9879]
 [ 40.7457 -73.9945]
 [ 40.75   -73.998 ]
 [ 40.7545 -73.9992]
 [ 40.7617 -74.0007]]"
